Zipcode,Type,City,County,State,Area Codes
1001,Standard,Agawam,Hampden County,MA,413
1002,Standard,Amherst,Hampshire County,MA,413
1003,Po Box,Amherst,Hampshire County,MA,413
1004,Po Box,Amherst,Hampshire County,MA,413
1005,Standard,Barre,Worcester County,MA,978
1007,Standard,Belchertown,Hampshire County,MA,413
1008,Standard,Blandford,Hampden County,MA,413
1009,Po Box,Bondsville,Hampden County,MA,413
1010,Standard,Brimfield,Hampden County,MA,413
1011,Standard,Chester,Hampden County,MA,413
1012,Standard,Chesterfield,Hampshire County,MA,413
1013,Standard,Chicopee,Hampden County,MA,413
1014,Po Box,Chicopee,Hampden County,MA,413
1020,Standard,Chicopee,Hampden County,MA,413
1021,Po Box,Chicopee,Hampden County,MA,413
1022,Standard,Chicopee,Hampden County,MA,413
1026,Standard,Cummington,Hampshire County,MA,413
1027,Standard,Easthampton,Hampshire County,MA,413
1028,Standard,East Longmeadow,Hampden County,MA,413
1029,Po Box,East Otis,Berkshire County,MA,413
1030,Standard,Feeding Hills,Hampden County,MA,413
1031,Standard,Gilbertville,Worcester County,MA,413
1032,Standard,Goshen,Hampshire County,MA,413
1033,Standard,Granby,Hampshire County,MA,413
1034,Standard,Granville,Hampden County,MA,413
1035,Standard,Hadley,Hampshire County,MA,413
1036,Standard,Hampden,Hampden County,MA,413
1037,Po Box,Hardwick,Worcester County,MA,413
1038,Standard,Hatfield,Hampshire County,MA,413
1039,Standard,Haydenville,Hampshire County,MA,413
1040,Standard,Holyoke,Hampden County,MA,413
1041,Po Box,Holyoke,Hampden County,MA,413
1050,Standard,Huntington,Hampshire County,MA,413
1053,Standard,Leeds,Hampshire County,MA,413
1054,Standard,Leverett,Franklin County,MA,413
1056,Standard,Ludlow,Hampden County,MA,413
1057,Standard,Monson,Hampden County,MA,413
1059,Po Box,North Amherst,Hampshire County,MA,413
1060,Standard,Northampton,Hampshire County,MA,413
1061,Po Box,Northampton,Hampshire County,MA,413
1062,Standard,Florence,Hampshire County,MA,413
1063,Unique,Northampton,Hampshire County,MA,413
1066,Po Box,North Hatfield,Franklin County,MA,413
1068,Standard,Oakham,Worcester County,MA,"508,774"
1069,Standard,Palmer,Hampden County,MA,413
1070,Standard,Plainfield,Hampshire County,MA,413
1071,Standard,Russell,Hampden County,MA,413
1072,Standard,Shutesbury,Franklin County,MA,413
1073,Standard,Southampton,Hampshire County,MA,413
1074,Po Box,South Barre,Worcester County,MA,978
1075,Standard,South Hadley,Hampshire County,MA,413
1077,Standard,Southwick,Hampden County,MA,413
1079,Po Box,Thorndike,Hampden County,MA,413
1080,Standard,Three Rivers,Hampden County,MA,413
1081,Standard,Wales,Hampden County,MA,413
1082,Standard,Ware,Hampshire County,MA,413
1083,Po Box,Warren,Worcester County,MA,413
1084,Standard,West Chesterfield,Hampshire County,MA,413
1085,Standard,Westfield,Hampden County,MA,413
1086,Po Box,Westfield,Hampden County,MA,413
1088,Standard,West Hatfield,Hampshire County,MA,413
1089,Standard,West Springfield,Hampden County,MA,413
1090,Po Box,West Springfield,Hampden County,MA,413
1092,Po Box,West Warren,Worcester County,MA,413
1093,Po Box,Whately,Franklin County,MA,413
1094,Po Box,Wheelwright,Worcester County,MA,413
1095,Standard,Wilbraham,Hampden County,MA,413
1096,Standard,Williamsburg,Hampshire County,MA,413
1097,Po Box,Woronoco,Hampden County,MA,413
1098,Standard,Worthington,Hampshire County,MA,413
1101,Po Box,Springfield,Hampden County,MA,413
1102,Po Box,Springfield,Hampden County,MA,413
1103,Standard,Springfield,Hampden County,MA,413
1104,Standard,Springfield,Hampden County,MA,413
1105,Standard,Springfield,Hampden County,MA,413
1106,Standard,Longmeadow,Hampden County,MA,413
1107,Standard,Springfield,Hampden County,MA,"860,413"
1108,Standard,Springfield,Hampden County,MA,413
1109,Standard,Springfield,Hampden County,MA,413
1111,Unique,Springfield,Hampden County,MA,413
1115,Po Box,Springfield,Hampden County,MA,413
1116,Po Box,Longmeadow,Hampden County,MA,413
1118,Standard,Springfield,Hampden County,MA,413
1119,Standard,Springfield,Hampden County,MA,413
1128,Standard,Springfield,Hampden County,MA,413
1129,Standard,Springfield,Hampden County,MA,413
1133,Unique,Springfield,Hampden County,MA,413
1138,Po Box,Springfield,Hampden County,MA,413
1139,Po Box,Springfield,Hampden County,MA,413
1144,Standard,Springfield,Hampden County,MA,413
1151,Standard,Indian Orchard,Hampden County,MA,413
1152,Standard,Springfield,Hampden County,MA,413
1195,Standard,Springfield,Hampden County,MA,413
1199,Unique,Springfield,Hampden County,MA,413
1201,Standard,Pittsfield,Berkshire County,MA,413
1202,Po Box,Pittsfield,Berkshire County,MA,413
1203,Po Box,Pittsfield,Berkshire County,MA,413
1220,Standard,Adams,Berkshire County,MA,413
1222,Standard,Ashley Falls,Berkshire County,MA,413
1223,Standard,Becket,Berkshire County,MA,413
1224,Standard,Berkshire,Berkshire County,MA,413
1225,Standard,Cheshire,Berkshire County,MA,413
1226,Standard,Dalton,Berkshire County,MA,413
1227,Po Box,Dalton,Berkshire County,MA,413
1229,Po Box,Glendale,Berkshire County,MA,413
1230,Standard,Great Barrington,Berkshire County,MA,413
1235,Standard,Hinsdale,Berkshire County,MA,413
1236,Standard,Housatonic,Berkshire County,MA,413
1237,Standard,Lanesboro,Berkshire County,MA,413
1238,Standard,Lee,Berkshire County,MA,413
1240,Standard,Lenox,Berkshire County,MA,413
1242,Po Box,Lenox Dale,Berkshire County,MA,413
1243,Po Box,Middlefield,Hampshire County,MA,413
1244,Po Box,Mill River,Berkshire County,MA,413
1245,Standard,Monterey,Berkshire County,MA,413
1247,Standard,North Adams,Berkshire County,MA,413
1252,Po Box,North Egremont,Berkshire County,MA,413
1253,Standard,Otis,Berkshire County,MA,413
1254,Standard,Richmond,Berkshire County,MA,413
1255,Standard,Sandisfield,Berkshire County,MA,413
1256,Standard,Savoy,Berkshire County,MA,413
1257,Standard,Sheffield,Berkshire County,MA,413
1258,Standard,South Egremont,Berkshire County,MA,413
1259,Standard,Southfield,Berkshire County,MA,413
1260,Po Box,South Lee,Berkshire County,MA,413
1262,Po Box,Stockbridge,Berkshire County,MA,413
1263,Unique,Stockbridge,Berkshire County,MA,413
1264,Po Box,Tyringham,Berkshire County,MA,413
1266,Standard,West Stockbridge,Berkshire County,MA,413
1267,Standard,Williamstown,Berkshire County,MA,413
1270,Standard,Windsor,Berkshire County,MA,413
1301,Standard,Greenfield,Franklin County,MA,413
1302,Po Box,Greenfield,Franklin County,MA,413
1330,Standard,Ashfield,Franklin County,MA,413
1331,Standard,Athol,Worcester County,MA,978
1337,Standard,Bernardston,Franklin County,MA,413
1338,Standard,Buckland,Franklin County,MA,413
1339,Standard,Charlemont,Franklin County,MA,413
1340,Standard,Colrain,Franklin County,MA,413
1341,Standard,Conway,Franklin County,MA,413
1342,Standard,Deerfield,Franklin County,MA,413
1343,Standard,Drury,Berkshire County,MA,413
1344,Standard,Erving,Franklin County,MA,"413,978"
1346,Standard,Heath,Franklin County,MA,413
1347,Po Box,Lake Pleasant,Franklin County,MA,413
1349,Standard,Millers Falls,Franklin County,MA,413
1350,Po Box,Monroe Bridge,Franklin County,MA,413
1351,Standard,Montague,Franklin County,MA,413
1354,Standard,Gill,Franklin County,MA,413
1355,Standard,New Salem,Franklin County,MA,978
1360,Standard,Northfield,Franklin County,MA,413
1364,Standard,Orange,Franklin County,MA,978
1366,Standard,Petersham,Worcester County,MA,978
1367,Standard,Rowe,Franklin County,MA,413
1368,Standard,Royalston,Worcester County,MA,978
1370,Standard,Shelburne Falls,Franklin County,MA,413
1373,Standard,South Deerfield,Franklin County,MA,413
1375,Standard,Sunderland,Franklin County,MA,413
1376,Standard,Turners Falls,Franklin County,MA,413
1378,Standard,Warwick,Franklin County,MA,978
1379,Standard,Wendell,Franklin County,MA,978
1380,Standard,Wendell Depot,Franklin County,MA,
1420,Standard,Fitchburg,Worcester County,MA,"978,617"
1430,Standard,Ashburnham,Worcester County,MA,978
1431,Standard,Ashby,Middlesex County,MA,978
1432,Standard,Ayer,Middlesex County,MA,978
1434,Standard,Devens,Worcester County,MA,
1436,Standard,Baldwinville,Worcester County,MA,978
1438,Po Box,East Templeton,Worcester County,MA,978
1440,Standard,Gardner,Worcester County,MA,978
1441,Unique,Westminster,Worcester County,MA,978
1450,Standard,Groton,Middlesex County,MA,978
1451,Standard,Harvard,Worcester County,MA,"978,617"
1452,Standard,Hubbardston,Worcester County,MA,978
1453,Standard,Leominster,Worcester County,MA,"978,508"
1460,Standard,Littleton,Middlesex County,MA,"978,508,781"
1462,Standard,Lunenburg,Worcester County,MA,978
1463,Standard,Pepperell,Middlesex County,MA,978
1464,Standard,Shirley,Middlesex County,MA,978
1467,Po Box,Still River,Worcester County,MA,978
1468,Standard,Templeton,Worcester County,MA,978
1469,Standard,Townsend,Middlesex County,MA,978
1470,Unique,Groton,Middlesex County,MA,351
1471,Unique,Groton,Middlesex County,MA,351
1472,Po Box,West Groton,Middlesex County,MA,978
1473,Standard,Westminster,Worcester County,MA,978
1474,Standard,West Townsend,Middlesex County,MA,978
1475,Standard,Winchendon,Worcester County,MA,978
1477,Po Box,Winchendon Springs,Worcester County,MA,
1501,Standard,Auburn,Worcester County,MA,"508,774"
1503,Standard,Berlin,Worcester County,MA,978
1504,Standard,Blackstone,Worcester County,MA,"508,774"
1505,Standard,Boylston,Worcester County,MA,"508,774"
1506,Standard,Brookfield,Worcester County,MA,"508,413"
1507,Standard,Charlton,Worcester County,MA,"508,774"
1508,Po Box,Charlton City,Worcester County,MA,
1509,Po Box,Charlton Depot,Worcester County,MA,
1510,Standard,Clinton,Worcester County,MA,"978,617"
1515,Standard,East Brookfield,Worcester County,MA,"508,774"
1516,Standard,Douglas,Worcester County,MA,"508,774"
1517,Po Box,East Princeton,Worcester County,MA,
1518,Standard,Fiskdale,Worcester County,MA,"508,774"
1519,Standard,Grafton,Worcester County,MA,"508,774"
1520,Standard,Holden,Worcester County,MA,"508,774"
1521,Standard,Holland,Hampden County,MA,"413,508"
1522,Standard,Jefferson,Worcester County,MA,508
1523,Standard,Lancaster,Worcester County,MA,978
1524,Standard,Leicester,Worcester County,MA,"508,774"
1525,Po Box,Linwood,Worcester County,MA,508
1526,Po Box,Manchaug,Worcester County,MA,508
1527,Standard,Millbury,Worcester County,MA,"508,774"
1529,Standard,Millville,Worcester County,MA,508
1531,Standard,New Braintree,Worcester County,MA,"413,508,774"
1532,Standard,Northborough,Worcester County,MA,"508,774"
1534,Standard,Northbridge,Worcester County,MA,508
1535,Standard,North Brookfield,Worcester County,MA,508
1536,Standard,North Grafton,Worcester County,MA,508
1537,Standard,North Oxford,Worcester County,MA,508
1538,Po Box,North Uxbridge,Worcester County,MA,508
1540,Standard,Oxford,Worcester County,MA,508
1541,Standard,Princeton,Worcester County,MA,978
1542,Standard,Rochdale,Worcester County,MA,508
1543,Standard,Rutland,Worcester County,MA,"508,774"
1545,Standard,Shrewsbury,Worcester County,MA,"508,774"
1546,Unique,Shrewsbury,Worcester County,MA,508
1550,Standard,Southbridge,Worcester County,MA,"508,774"
1560,Standard,South Grafton,Worcester County,MA,508
1561,Po Box,South Lancaster,Worcester County,MA,978
1562,Standard,Spencer,Worcester County,MA,"508,774"
1564,Standard,Sterling,Worcester County,MA,978
1566,Standard,Sturbridge,Worcester County,MA,"508,774"
1568,Standard,Upton,Worcester County,MA,"508,774"
1569,Standard,Uxbridge,Worcester County,MA,"508,774"
1570,Standard,Webster,Worcester County,MA,"508,617,774"
1571,Standard,Dudley,Worcester County,MA,508
1580,Unique,Westborough,Worcester County,MA,508
1581,Standard,Westborough,Worcester County,MA,"508,617,774"
1582,Unique,Westborough,Worcester County,MA,508
1583,Standard,West Boylston,Worcester County,MA,"508,978"
1585,Standard,West Brookfield,Worcester County,MA,"508,413"
1586,Po Box,West Millbury,Worcester County,MA,
1588,Standard,Whitinsville,Worcester County,MA,"508,774"
1590,Standard,Sutton,Worcester County,MA,508
1601,Po Box,Worcester,Worcester County,MA,508
1602,Standard,Worcester,Worcester County,MA,508
1603,Standard,Worcester,Worcester County,MA,508
1604,Standard,Worcester,Worcester County,MA,508
1605,Standard,Worcester,Worcester County,MA,508
1606,Standard,Worcester,Worcester County,MA,508
1607,Standard,Worcester,Worcester County,MA,508
1608,Standard,Worcester,Worcester County,MA,"508,774,978"
1609,Standard,Worcester,Worcester County,MA,"508,774,978"
1610,Standard,Worcester,Worcester County,MA,"508,774"
1611,Standard,Cherry Valley,Worcester County,MA,508
1612,Standard,Paxton,Worcester County,MA,508
1613,Po Box,Worcester,Worcester County,MA,508
1614,Po Box,Worcester,Worcester County,MA,508
1615,Po Box,Worcester,Worcester County,MA,508
1653,Unique,Worcester,Worcester County,MA,508
1654,Unique,Worcester,Worcester County,MA,508
1655,Standard,Worcester,Worcester County,MA,508
1701,Standard,Framingham,Middlesex County,MA,"508,617,774,781,978"
1702,Standard,Framingham,Middlesex County,MA,508
1703,Po Box,Framingham,Middlesex County,MA,508
1704,Po Box,Framingham,Middlesex County,MA,508
1705,Po Box,Framingham,Middlesex County,MA,508
1718,Standard,Village Of Nagog Woods,Middlesex County,MA,978
1719,Standard,Boxborough,Middlesex County,MA,978
1720,Standard,Acton,Middlesex County,MA,"978,508,617,781"
1721,Standard,Ashland,Middlesex County,MA,"508,617"
1730,Standard,Bedford,Middlesex County,MA,781
1731,Standard,Hanscom Afb,Middlesex County,MA,781
1740,Standard,Bolton,Worcester County,MA,978
1741,Standard,Carlisle,Middlesex County,MA,978
1742,Standard,Concord,Middlesex County,MA,"508,978"
1745,Standard,Fayville,Worcester County,MA,508
1746,Standard,Holliston,Middlesex County,MA,"508,774"
1747,Standard,Hopedale,Worcester County,MA,508
1748,Standard,Hopkinton,Middlesex County,MA,"508,774"
1749,Standard,Hudson,Middlesex County,MA,"508,978"
1752,Standard,Marlborough,Middlesex County,MA,"508,978,774"
1754,Standard,Maynard,Middlesex County,MA,978
1756,Standard,Mendon,Worcester County,MA,508
1757,Standard,Milford,Worcester County,MA,"508,617,774"
1760,Standard,Natick,Middlesex County,MA,"508,617"
1770,Standard,Sherborn,Middlesex County,MA,508
1772,Standard,Southborough,Worcester County,MA,"508,978"
1773,Standard,Lincoln,Middlesex County,MA,"978,781"
1775,Standard,Stow,Middlesex County,MA,978
1776,Standard,Sudbury,Middlesex County,MA,"508,978"
1778,Standard,Wayland,Middlesex County,MA,"508,978"
1784,Po Box,Woodville,Middlesex County,MA,
1801,Standard,Woburn,Middlesex County,MA,"508,781,978,339,617"
1803,Standard,Burlington,Middlesex County,MA,"617,781,508,978,339"
1805,Unique,Burlington,Middlesex County,MA,781
1806,Unique,Woburn,Middlesex County,MA,339
1807,Unique,Woburn,Middlesex County,MA,339
1808,Unique,Woburn,Middlesex County,MA,339
1810,Standard,Andover,Essex County,MA,"978,617,781"
1812,Unique,Andover,Essex County,MA,351
1813,Unique,Woburn,Middlesex County,MA,339
1815,Unique,Woburn,Middlesex County,MA,339
1821,Standard,Billerica,Middlesex County,MA,"617,978"
1822,Po Box,Billerica,Middlesex County,MA,351
1824,Standard,Chelmsford,Middlesex County,MA,978
1826,Standard,Dracut,Middlesex County,MA,"978,617"
1827,Standard,Dunstable,Middlesex County,MA,"978,617"
1830,Standard,Haverhill,Essex County,MA,978
1831,Po Box,Haverhill,Essex County,MA,978
1832,Standard,Haverhill,Essex County,MA,"978,508"
1833,Standard,Georgetown,Essex County,MA,978
1834,Standard,Groveland,Essex County,MA,978
1835,Standard,Haverhill,Essex County,MA,978
1840,Standard,Lawrence,Essex County,MA,978
1841,Standard,Lawrence,Essex County,MA,"978,508"
1842,Po Box,Lawrence,Essex County,MA,351
1843,Standard,Lawrence,Essex County,MA,"978,508"
1844,Standard,Methuen,Essex County,MA,"781,978"
1845,Standard,North Andover,Essex County,MA,978
1850,Standard,Lowell,Middlesex County,MA,978
1851,Standard,Lowell,Middlesex County,MA,"508,978,617"
1852,Standard,Lowell,Middlesex County,MA,"508,978"
1853,Po Box,Lowell,Middlesex County,MA,351
1854,Standard,Lowell,Middlesex County,MA,978
1860,Standard,Merrimac,Essex County,MA,978
1862,Standard,North Billerica,Middlesex County,MA,"978,617,508"
1863,Standard,North Chelmsford,Middlesex County,MA,"978,617"
1864,Standard,North Reading,Middlesex County,MA,978
1865,Po Box,Nutting Lake,Middlesex County,MA,
1866,Po Box,Pinehurst,Middlesex County,MA,
1867,Standard,Reading,Middlesex County,MA,"781,617"
1876,Standard,Tewksbury,Middlesex County,MA,"978,617"
1879,Standard,Tyngsboro,Middlesex County,MA,978
1880,Standard,Wakefield,Middlesex County,MA,"617,781,339"
1885,Po Box,West Boxford,Essex County,MA,
1886,Standard,Westford,Middlesex County,MA,"978,508"
1887,Standard,Wilmington,Middlesex County,MA,"508,978,781,617"
1888,Po Box,Woburn,Middlesex County,MA,781
1889,Unique,North Reading,Middlesex County,MA,351
1890,Standard,Winchester,Middlesex County,MA,"781,978,617"
1899,Unique,Andover,Essex County,MA,351
1901,Standard,Lynn,Essex County,MA,781
1902,Standard,Lynn,Essex County,MA,"617,781,339"
1903,Po Box,Lynn,Essex County,MA,339
1904,Standard,Lynn,Essex County,MA,"781,978"
1905,Standard,Lynn,Essex County,MA,"781,617,339"
1906,Standard,Saugus,Essex County,MA,"617,781,978,339"
1907,Standard,Swampscott,Essex County,MA,"781,978"
1908,Standard,Nahant,Essex County,MA,"781,617"
1910,Unique,Lynn,Essex County,MA,339
1913,Standard,Amesbury,Essex County,MA,978
1915,Standard,Beverly,Essex County,MA,"978,781,508"
1921,Standard,Boxford,Essex County,MA,"508,978"
1922,Standard,Byfield,Essex County,MA,"617,978"
1923,Standard,Danvers,Essex County,MA,"978,617,351"
1929,Standard,Essex,Essex County,MA,978
1930,Standard,Gloucester,Essex County,MA,978
